Edition	Country	MedalCount
1976	HKG	0
1980	HKG	0
1984	HKG	0
1988	HKG	0
1992	HKG	0
1996	HKG	1
2000	HKG	0
2004	HKG	2
2008	HKG	0
1896	HUN	6
1900	HUN	5
1904	HUN	4
1908	HUN	18
1912	HUN	30
1920	HUN	0
1924	HUN	20
1928	HUN	20
1932	HUN	32
1936	HUN	42
1948	HUN	60
1952	HUN	101
1956	HUN	64
1960	HUN	65
1964	HUN	56
1968	HUN	81
1972	HUN	81
1976	HUN	55
1980	HUN	61
1984	HUN	0
1988	HUN	44
1992	HUN	45
1996	HUN	43
2000	HUN	53
2004	HUN	40
2008	HUN	27
1896	INA	0
1900	INA	0
1904	INA	0
1908	INA	0
1912	INA	0
1920	INA	0
1924	INA	0
1928	INA	0
1932	INA	0
1936	INA	0
1948	INA	0
1952	INA	0
1956	INA	0
1960	INA	0
1964	INA	0
1968	INA	0
1972	INA	0
1976	INA	0
1980	INA	0
1984	INA	0
1988	INA	3
1992	INA	6
1996	INA	6
2000	INA	8
2004	INA	5
2008	INA	7
1896	IND	0
1900	IND	2
1904	IND	0
1908	IND	0
1912	IND	0
1920	IND	0
1924	IND	0
1928	IND	15
1932	IND	11
1936	IND	19
1948	IND	20
1952	IND	15
1956	IND	17
1960	IND	13
1964	IND	15
1968	IND	15
1972	IND	14
1976	IND	0
1980	IND	16
1984	IND	0
1988	IND	0
1992	IND	0
1996	IND	1
2000	IND	1
2004	IND	1
2008	IND	3
1896	IOP	0
1900	IOP	0
1904	IOP	0
1908	IOP	0
1912	IOP	0
1920	IOP	0
1924	IOP	0
1928	IOP	0
1932	IOP	0
1936	IOP	0
1948	IOP	0
1952	IOP	0
1956	IOP	0
1960	IOP	0
1964	IOP	0
1968	IOP	0
1972	IOP	0
1976	IOP	0
1980	IOP	0
1984	IOP	0
1988	IOP	0
1992	IOP	3
1996	IOP	0
2000	IOP	0
2004	IOP	0
2008	IOP	0
1896	IRI	0
1900	IRI	0
